
[['+', '+', '+', '+',..., '+', '+', '+', '+', '+', '+', '+'],
['+', ' ', ' ', ' ',..., ' ', ' ', ' ', '+', ' ', ' ', ' '],
['+', ' ', '+', ' ',..., '+', '+', ' ', '+', ' ', '+', '+'],
['+', ' ', '+', ' ',..., ' ', ' ', ' ', '+', ' ', '+', '+'],
['+', '+', '+', ' ',..., '+', '+', ' ', '+', ' ', ' ', '+'],
['+', ' ', ' ', ' ',..., '+', '+', ' ', ' ', ' ', ' ', '+'],
['+', '+', '+', '+',..., '+', '+', '+', '+', '+', ' ', '+'],
['+', ' ', ' ', ' ',..., '+', '+', ' ', ' ', '+', ' ', '+'],
['+', ' ', '+', '+',..., ' ', ' ', '+', ' ', ' ', ' ', '+'],
['+', ' ', ' ', ' ',..., ' ', ' ', '+', ' ', '+', '+', '+'],
['+', '+', '+', '+',..., '+', '+', '+', ' ', '+', '+', '+'],]
